ID,creator,age,stim,inverted,category1,category2,category3,confidence,creativity,filepath
4012,child,6.0,R,True,abstract doodle/hard to interpret,,,2.0,0.0,../data/children/stimuli_R/4012.png
4013,child,7.0,G,False,mushroom,,,1.0,2,../data/children/stimuli_G/4013.png
4013,child,7.0,I,False,abstract doodle/hard to interpret,,,1.0,1.0,../data/children/stimuli_I/4013.png
4013,child,7.0,R,True,popcorn,,,1.0,2.0,../data/children/stimuli_R/4013.png
4014,child,8.0,G,False,abstract doodle/hard to interpret,,,1.0,1,../data/children/stimuli_G/4014.png
4014,child,8.0,I,True,(smiley) face,,,2.0,2.0,../data/children/stimuli_I/4014.png
4014,child,8.0,R,True,ice cream cone,,,2.0,1.0,../data/children/stimuli_R/4014.png
4015,child,8.0,G,False,abstract doodle/hard to interpret,,,1.0,0,../data/children/stimuli_G/4015.png
4015,child,8.0,I,False,hat,,,1.0,2.0,../data/children/stimuli_I/4015.png
4015,child,8.0,R,True,creature/monster,,,2.0,2.0,../data/children/stimuli_R/4015.png
4016,child,9.0,G,False,mushroom,circles,,2.0,2,../data/children/stimuli_G/4016.png
4016,child,9.0,I,False,milk karton,writing,,2.0,3.0,../data/children/stimuli_I/4016.png
4016,child,9.0,R,False,shopping bag,writing,,2.0,3.0,../data/children/stimuli_R/4016.png
4017,child,7.0,G,True,creature/monster,hands,,2.0,3,../data/children/stimuli_G/4017.png
4017,child,7.0,I,False,door,lines,,2.0,2.0,../data/children/stimuli_I/4017.png
4017,child,7.0,R,False,house,person(s),,2.0,2.0,../data/children/stimuli_R/4017.png
4018,child,5.0,G,False,abstract doodle/hard to interpret,lines,,2.0,0,../data/children/stimuli_G/4018.png
4018,child,5.0,I,False,bug,lines,,1.0,3.0,../data/children/stimuli_I/4018.png
4018,child,5.0,R,True,abstract doodle/hard to interpret,lines,,2.0,0.0,../data/children/stimuli_R/4018.png
4019,child,5.0,G,False,mushroom,circles,,2.0,2,../data/children/stimuli_G/4019.png
4019,child,5.0,I,False,bird,wings,,2.0,2.0,../data/children/stimuli_I/4019.png
4019,child,5.0,R,True,abstract doodle/hard to interpret,heart,,2.0,1.0,../data/children/stimuli_R/4019.png
4020,child,6.0,G,False,abstract doodle/hard to interpret,lines,,2.0,0,../data/children/stimuli_G/4020.png
4020,child,6.0,I,False,bird,wings,,2.0,2.0,../data/children/stimuli_I/4020.png
4020,child,6.0,R,False,house,lines,door,2.0,2.0,../data/children/stimuli_R/4020.png
4021,child,5.0,G,False,(smiley) face,,,2.0,1,../data/children/stimuli_G/4021.png
4021,child,5.0,I,False,creature/monster,wings,teeth,2.0,2.0,../data/children/stimuli_I/4021.png
4021,child,5.0,R,False,house,animal,teeth,2.0,3.0,../data/children/stimuli_R/4021.png
4022,child,8.0,G,False,person(s),boat,hands,2.0,3,../data/children/stimuli_G/4022.png
4022,child,8.0,I,False,creature/monster,writing,,2.0,2.0,../data/children/stimuli_I/4022.png
4022,child,8.0,R,True,(smiley) face,,,2.0,2.0,../data/children/stimuli_R/4022.png
4023,child,9.0,G,True,completing,abstract doodle/hard to interpret,,2.0,0,../data/children/stimuli_G/4023.png
4023,child,9.0,I,True,completing,eye(s),,1.0,0.0,../data/children/stimuli_I/4023.png
4023,child,9.0,R,False,house,door,,2.0,2.0,../data/children/stimuli_R/4023.png
4024,child,9.0,G,True,abstract doodle/hard to interpret,heart,,2.0,1,../data/children/stimuli_G/4024.png
4024,child,9.0,I,True,toilet,,,2.0,4.0,../data/children/stimuli_I/4024.png
4024,child,9.0,R,False,house,door,,2.0,2.0,../data/children/stimuli_R/4024.png
4025,child,6.0,G,False,princess,hands,,2.0,3,../data/children/stimuli_G/4025.png
4025,child,6.0,I,False,lock,,,2.0,2.0,../data/children/stimuli_I/4025.png
4025,child,6.0,R,True,(smiley) face,,,2.0,2.0,../data/children/stimuli_R/4025.png
4026,child,7.0,G,False,creature/monster,feelers,hands,2.0,3,../data/children/stimuli_G/4026.png
4026,child,7.0,I,False,creature/monster,circles,,1.0,2.0,../data/children/stimuli_I/4026.png
4026,child,7.0,R,True,(smiley) face,lines,,1.0,2.0,../data/children/stimuli_R/4026.png
5001,child,9.0,G,False,abstract doodle/hard to interpret,lines,,2.0,0,../data/children/stimuli_G/5001.png
5001,child,9.0,I,False,robot,hands,,2.0,2.0,../data/children/stimuli_I/5001.png
5001,child,9.0,R,True,robot,hands,,2.0,2.0,../data/children/stimuli_R/5001.png
5002,child,6.0,G,False,abstract doodle/hard to interpret,lines,,2.0,1,../data/children/stimuli_G/5002.png
5002,child,6.0,I,True,person,,,2.0,2.0,../data/children/stimuli_I/5002.png
5002,child,6.0,R,False,abstract doodle/hard to interpret,lines,,2.0,1.0,../data/children/stimuli_R/5002.png
5003,child,8.0,G,False,abstract doodle/hard to interpret,circles,,1.0,2,../data/children/stimuli_G/5003.png
5003,child,8.0,I,False,bank,writing,door,2.0,3.0,../data/children/stimuli_I/5003.png
5003,child,8.0,R,False,house,door,,2.0,2.0,../data/children/stimuli_R/5003.png
5004,child,8.0,G,True,person,,,1.0,1,../data/children/stimuli_G/5004.png
5004,child,8.0,I,True,person,,,2.0,2.0,../data/children/stimuli_I/5004.png
5004,child,8.0,R,False,house,smoke,door,2.0,2.0,../data/children/stimuli_R/5004.png
5009,child,7.0,G,False,person(s),boat,,1.0,1,../data/children/stimuli_G/5009.png
5009,child,7.0,I,False,abstract doodle/hard to interpret,,,2.0,1.0,../data/children/stimuli_I/5009.png
5009,child,7.0,R,True,abstract doodle/hard to interpret,,,2.0,1.0,../data/children/stimuli_R/5009.png
5010,child,7.0,G,False,blank,,,2.0,10,../data/children/stimuli_G/5010.png
5010,child,7.0,I,False,salt shaker,writing,,2.0,2.0,../data/children/stimuli_I/5010.png
5010,child,7.0,R,True,blank,,,2.0,10.0,../data/children/stimuli_R/5010.png
5011,child,8.0,G,False,abstract doodle/hard to interpret,lines,,2.0,1,../data/children/stimuli_G/5011.png
5011,child,8.0,I,True,abstract doodle/hard to interpret,,,2.0,1.0,../data/children/stimuli_I/5011.png
5011,child,8.0,R,False,house,door,,2.0,2.0,../data/children/stimuli_R/5011.png
5012,child,6.0,G,False,abstract doodle/hard to interpret,circles,,2.0,0,../data/children/stimuli_G/5012.png
5012,child,6.0,I,False,completing,,,2.0,0.0,../data/children/stimuli_I/5012.png
5012,child,6.0,R,True,abstract doodle/hard to interpret,,,2.0,0.0,../data/children/stimuli_R/5012.png
5018,child,9.0,G,False,creature/monster,,,1.0,2,../data/children/stimuli_G/5018.png
5018,child,9.0,I,False,abstract doodle/hard to interpret,,,2.0,1.0,../data/children/stimuli_I/5018.png
